item,description,quantity,unit_price,line_total
R-CARROTS SHREDDED OZ,,1.0,1.29,1.29
R-CUCUMBERS PERSIAN LB,,1.0,1.99,1.99
TOMATOES CRUSHED NO SALT,,1.0,1.59,1.59
TOMATOES WHOLE NO SALT W/BASIL,,1.0,1.59,1.59
ORGANIC OLD FASHIONED OATMEAL,,1.0,2.69,2.69
MINI-PEARL TOMATOES,,1.0,2.49,2.49
PKG SHREDDED MOZZARELLA LITeT,,1.0,3.99,3.99
BEANS GARBANZO,,1.0,0.89,0.89
SPROUTED CA STYLE,,1.0,2.99,2.99
A-AVOCADOS HASS BAG ACT,,1.0,3.99,3.99
A-APPLE BAG JAZZ LB,,1.0,2.99,2.99
A-PEPPER BELL EACH XL RED,,1.0,0.99,0.99
BANANAS ORGANIC,,1.0,0.87,0.87
CREAMY SALTED PEANUT BUTTER,,1.0,2.49,2.49
WHL WHT PITA BREAD,,1.0,1.69,1.69
